Ore Name,ItemStack,Item ID,Display Name,Wildcard
MediumBackpacks,1xitem.backpack@116,Backpack:backpack,Middle White Backpack,false
PalmPlanks,1xtile.for.planks@18,Forestry:planks,Palm Wood Planks,false
PalmPlanks,1xtile.for.planksFireproof@18,Forestry:planksFireproof,Palm Wood Planks (Fireproof),false
PalmSlabs,1xtile.for.slabs@18,Forestry:slabs,Palm Wood Slab,false
PalmSlabs,1xtile.for.slabsFireproof@18,Forestry:slabsFireproof,Palm Wood Slab (Fireproof),false
PapayaPlanks,1xtile.for.planks@19,Forestry:planks,Papaya Wood Planks,false
PapayaPlanks,1xtile.for.planksFireproof@19,Forestry:planksFireproof,Papaya Wood Planks (Fireproof),false
PapayaSlabs,1xtile.for.slabs@19,Forestry:slabs,Papaya Wood Slab,false
PapayaSlabs,1xtile.for.slabsFireproof@19,Forestry:slabsFireproof,Papaya Wood Slab (Fireproof),false
PinePlanks,1xtile.for.planks@20,Forestry:planks,Pine Wood Planks,false
PinePlanks,1xtile.for.planksFireproof@20,Forestry:planksFireproof,Pine Wood Planks (Fireproof),false
PineSlab,1xtile.for.slabs@20,Forestry:slabs,Pine Wood Slab,false
PineSlab,1xtile.for.slabsFireproof@20,Forestry:slabsFireproof,Pine Wood Slab (Fireproof),false
PlumPlanks,1xtile.for.planks@21,Forestry:planks,Plum Wood Planks,false
PlumPlanks,1xtile.for.planksFireproof@21,Forestry:planksFireproof,Plum Wood Planks (Fireproof),false
PlumSlab,1xtile.for.slabs@21,Forestry:slabs,Plum Wood Slab,false
PlumSlab,1xtile.for.slabsFireproof@21,Forestry:slabsFireproof,Plum Wood Slab (Fireproof),false
PoplarPlanks,1xtile.for.planks@22,Forestry:planks,Maple Wood Planks,false
PoplarPlanks,1xtile.for.planksFireproof@22,Forestry:planksFireproof,Maple Wood Planks (Fireproof),false
PoplarSlab,1xtile.for.slabs@22,Forestry:slabs,Maple Wood Slab,false
PoplarSlab,1xtile.for.slabsFireproof@22,Forestry:slabsFireproof,Maple Wood Slab (Fireproof),false
SequoiaPlanks,1xtile.for.planks@7,Forestry:planks,Sequoia Wood Planks,false
SequoiaPlanks,1xtile.for.planksFireproof@7,Forestry:planksFireproof,Sequoia Wood Planks (Fireproof),false
SequoiaSlab,1xtile.for.slabs@7,Forestry:slabs,Sequoia Wood Slab,false
SequoiaSlab,1xtile.for.slabsFireproof@7,Forestry:slabsFireproof,Sequoia Wood Slab (Fireproof),false
SingleUseCrowbarMold,1xgt.ggfab.d1@32,ggfab:gt.ggfab.d1,Mold (Single Use Crowbar),false
SingleUseFileMold,1xgt.ggfab.d1@30,ggfab:gt.ggfab.d1,Mold (Single Use File),false
SingleUseHardHammerMold,1xgt.ggfab.d1@34,ggfab:gt.ggfab.d1,Mold (Single Use Hard Hammer),false
SingleUseSawMold,1xgt.ggfab.d1@37,ggfab:gt.ggfab.d1,Mold (Single Use Saw),false
SingleUseScrewdriverMold,1xgt.ggfab.d1@36,ggfab:gt.ggfab.d1,Mold (Single Use Screwdriver),false
SingleUseSoftMalletMold,1xgt.ggfab.d1@35,ggfab:gt.ggfab.d1,Mold (Single Use Soft Mallet),false
SingleUseWireCutterMold,1xgt.ggfab.d1@33,ggfab:gt.ggfab.d1,Mold (Single Use Wire Cutter),false
SingleUseWrenchMold,1xgt.ggfab.d1@31,ggfab:gt.ggfab.d1,Mold (Single Use Wrench),false
SmallBackpacks,1xitem.backpack@0,Backpack:backpack,Backpack,false
SmallBackpacks,1xitem.backpack@1,Backpack:backpack,Black Backpack,false
SmallBackpacks,1xitem.backpack@2,Backpack:backpack,Red Backpack,false
SmallBackpacks,1xitem.backpack@3,Backpack:backpack,Green Backpack,false
SmallBackpacks,1xitem.backpack@4,Backpack:backpack,Brown Backpack,false
SmallBackpacks,1xitem.backpack@5,Backpack:backpack,Blue Backpack,false
SmallBackpacks,1xitem.backpack@6,Backpack:backpack,Purple Backpack,false
SmallBackpacks,1xitem.backpack@7,Backpack:backpack,Cyan Backpack,false
SmallBackpacks,1xitem.backpack@8,Backpack:backpack,Light Gray Backpack,false
SmallBackpacks,1xitem.backpack@9,Backpack:backpack,Gray Backpack,false
SmallBackpacks,1xitem.backpack@10,Backpack:backpack,Pink Backpack,false
SmallBackpacks,1xitem.backpack@11,Backpack:backpack,Lime Backpack,false
SmallBackpacks,1xitem.backpack@12,Backpack:backpack,Yellow Backpack,false
SmallBackpacks,1xitem.backpack@13,Backpack:backpack,Light Blue Backpack,false
SmallBackpacks,1xitem.backpack@14,Backpack:backpack,Magenta Backpack,false
SmallBackpacks,1xitem.backpack@15,Backpack:backpack,Orange Backpack,false
SmallBackpacks,1xitem.backpack@16,Backpack:backpack,White Backpack,false
TeakPlanks,1xtile.for.planks@1,Forestry:planks,Teak Wood Planks,false
TeakPlanks,1xtile.for.planksFireproof@1,Forestry:planksFireproof,Teak Wood Planks (Fireproof),false
TeakSlab,1xtile.for.slabs@1,Forestry:slabs,Teak Wood Slab,false
TeakSlab,1xtile.for.slabsFireproof@1,Forestry:slabsFireproof,Teak Wood Slab (Fireproof),false
WalnutPlanks,1xtile.for.planks@13,Forestry:planks,Walnut Wood Planks,false
WalnutPlanks,1xtile.for.planksFireproof@13,Forestry:planksFireproof,Walnut Wood Planks (Fireproof),false
WalnutSlab,1xtile.for.slabs@13,Forestry:slabs,Walnut Wood Slab,false
WalnutSlab,1xtile.for.slabsFireproof@13,Forestry:slabsFireproof,Walnut Wood Slab (Fireproof),false
WengePlanks,1xtile.for.planks@5,Forestry:planks,Wenge Wood Planks,false
WengePlanks,1xtile.for.planksFireproof@5,Forestry:planksFireproof,Wenge Wood Planks (Fireproof),false
WengeSlab,1xtile.for.slabs@5,Forestry:slabs,Wenge Wood Slab,false
WengeSlab,1xtile.for.slabsFireproof@5,Forestry:slabsFireproof,Wenge Wood Slab (Fireproof),false
WillowPlanks,1xtile.for.planks@12,Forestry:planks,Willow Wood Planks,false
WillowPlanks,1xtile.for.planksFireproof@12,Forestry:planksFireproof,Willow Wood Planks (Fireproof),false
WillowSlab,1xtile.for.slabs@12,Forestry:slabs,Willow Wood Slab,false
WillowSlab,1xtile.for.slabsFireproof@12,Forestry:slabsFireproof,Willow Wood Slab (Fireproof),false
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,Obzinite Tool Rod,false
antiBlock,1xtile.chisel.antiBlock@0,chisel:antiBlock,Anti Block,false
apiaryUpgrade,1xgt.metaitem.03@32200,gregtech:gt.metaitem.03,Acceleration Upgrade x2,false
apiaryUpgrade,1xgt.metaitem.03@32201,gregtech:gt.metaitem.03,Acceleration Upgrade x4,false
apiaryUpgrade,1xgt.metaitem.03@32202,gregtech:gt.metaitem.03,Acceleration Upgrade x8,false
apiaryUpgrade,1xgt.metaitem.03@32203,gregtech:gt.metaitem.03,Acceleration Upgrade x16,false
apiaryUpgrade,1xgt.metaitem.03@32204,gregtech:gt.metaitem.03,Acceleration Upgrade x32,false
apiaryUpgrade,1xgt.metaitem.03@32205,gregtech:gt.metaitem.03,Acceleration Upgrade x64,false
apiaryUpgrade,1xgt.metaitem.03@32206,gregtech:gt.metaitem.03,Acceleration Upgrade x128,false
apiaryUpgrade,1xgt.metaitem.03@32207,gregtech:gt.metaitem.03,Acceleration Upgrade x256,false
apiaryUpgrade,1xgt.metaitem.03@32208,gregtech:gt.metaitem.03,Upgraded Acceleration Upgrade x256,false
apiaryUpgrade,1xgt.metaitem.03@32209,gregtech:gt.metaitem.03,Production Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32210,gregtech:gt.metaitem.03,Plains Emulation Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32211,gregtech:gt.metaitem.03,Light Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32212,gregtech:gt.metaitem.03,Flowering Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32213,gregtech:gt.metaitem.03,Winter Emulation Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32214,gregtech:gt.metaitem.03,Dryer Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32215,gregtech:gt.metaitem.03,Automation Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32216,gregtech:gt.metaitem.03,Humidifier Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32217,gregtech:gt.metaitem.03,HELL Emulation Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32218,gregtech:gt.metaitem.03,Pollen Scrubber Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32219,gregtech:gt.metaitem.03,Desert Emulation Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32220,gregtech:gt.metaitem.03,Cooler Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32221,gregtech:gt.metaitem.03,Lifespan Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32222,gregtech:gt.metaitem.03,Seal Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32223,gregtech:gt.metaitem.03,Genetic Stabilizer Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32224,gregtech:gt.metaitem.03,Jungle Emulation Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32225,gregtech:gt.metaitem.03,Territory Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32226,gregtech:gt.metaitem.03,Ocean Emulation Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32227,gregtech:gt.metaitem.03,Open Sky Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32228,gregtech:gt.metaitem.03,Heater Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32229,gregtech:gt.metaitem.03,Sieve Upgrade,false
apiaryUpgrade,1xgt.metaitem.03@32231,gregtech:gt.metaitem.03,Night Upgrade,false
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,Ardite Tool Rod,false
bEnderAirBottle,1xitem.manaResource@15,Botania:manaResource,Ender Air Bottle,false
bFlask,1xitem.vial@1,Botania:vial,Alfglass Flask,false
bPlaceholder,1xitem.manaResource@11,Botania:manaResource,Crafting Placeholder,false
bRedString,1xitem.manaResource@12,Botania:manaResource,Red String,false
bVial,1xitem.vial@0,Botania:vial,Managlass Vial,false
barsAluminium,1xitem.AluminiumBars@0,dreamcraft:item.AluminiumBars,Aluminium Bars,false
barsChrome,1xitem.ChromeBars@0,dreamcraft:item.ChromeBars,Chrome Bars,false
barsConductiveIron,1xitem.ConductiveIronBars@0,dreamcraft:item.ConductiveIronBars,Conductive Iron Bars,false
barsElectricalSteel,1xitem.ElectricalSteelBars@0,dreamcraft:item.ElectricalSteelBars,Electrical Steel Bars,false
barsEnderium,1xitem.EnderiumBars@0,dreamcraft:item.EnderiumBars,Enderium Bars,false
barsEnderiumBase,1xitem.EnderiumBaseBars@0,dreamcraft:item.EnderiumBaseBars,Enderium Base Bars,false
barsEnergeticAlloy,1xitem.EnergeticAlloyBars@0,dreamcraft:item.EnergeticAlloyBars,Energetic Alloy Bars,false
barsIridium,1xitem.IridiumBars@0,dreamcraft:item.IridiumBars,Iridium Bars,false
barsIron,1xtile.fenceIron@0,minecraft:iron_bars,Iron Bars,false
barsIron,1xtile.blockDarkIronBars@0,EnderIO:blockDarkIronBars,Dark Steel Bars,false
barsIron,1xtile.blockSoulariumBars@0,EnderIO:blockSoulariumBars,Soularium Bars,false
barsIron,1xtile.blockEndSteelBars@0,EnderIO:blockEndSteelBars,End Steel Bars,false
barsNeutronium,1xitem.NeutroniumBars@0,dreamcraft:item.NeutroniumBars,Neutronium Bars,false
barsOsmium,1xitem.OsmiumBars@0,dreamcraft:item.OsmiumBars,Osmium Bars,false
barsPulsatingIron,1xitem.PulsatingIronBars@0,dreamcraft:item.PulsatingIronBars,Pulsating Iron Bars,false
barsRedstoneAlloy,1xitem.RedstoneAlloyBars@0,dreamcraft:item.RedstoneAlloyBars,Redstone Alloy Bars,false
barsSoularium,1xitem.SoulariumBars@0,dreamcraft:item.SoulariumBars,Soularium Bars,false
barsSoularium,1xtile.blockSoulariumBars@0,EnderIO:blockSoulariumBars,Soularium Bars,false
barsStainlessSteel,1xitem.StainlessSteelBars@0,dreamcraft:item.StainlessSteelBars,Stainless Steel Bars,false
barsSteel,1xitem.SteelBars@0,dreamcraft:item.SteelBars,Steel Bars,false
barsTitanium,1xitem.TitaniumBars@0,dreamcraft:item.TitaniumBars,Titanium Bars,false
barsTungsten,1xitem.TungstenBars@0,dreamcraft:item.TungstenBars,Tungsten Bars,false
barsTungstenSteel,1xitem.TungstenSteelBars@0,dreamcraft:item.TungstenSteelBars,Tungstensteel Bars,false
basalt,1xgt.blockstones@8,gregtech:gt.blockstones,Basalt,false
basalt,1xgt.blockstones@9,gregtech:gt.blockstones,Basalt Cobblestone,false
basalt,1xgt.blockstones@10,gregtech:gt.blockstones,Mossy Basalt Cobblestone,false
basalt,1xgt.blockstones@11,gregtech:gt.blockstones,Basalt Bricks,false
basalt,1xgt.blockstones@12,gregtech:gt.blockstones,Cracked Basalt Bricks,false
basalt,1xgt.blockstones@13,gregtech:gt.blockstones,Mossy Basalt Bricks,false
basalt,1xgt.blockstones@14,gregtech:gt.blockstones,Chiseled Basalt,false
basalt,1xgt.blockstones@15,gregtech:gt.blockstones,Smooth Basalt,false
batteryAdvanced,1xic2.itemBatCrystal@32767,IC2:itemBatCrystal,(wildcard),true
batteryBasic,1xic2.itemBatREDischarged@0,IC2:itemBatREDischarged,RE-Battery,false
batteryBasic,1xic2.itemBatRE@32767,IC2:itemBatRE,(wildcard),true
batteryData,1xic2.itemBatLamaCrystal@32767,IC2:itemBatLamaCrystal,(wildcard),true
batteryERV,1xgt.metaitem.01@32146,gregtech:gt.metaitem.01,Mega Ultimate Battery,false
batteryEV,1xgt.metaitem.01@32540,gregtech:gt.metaitem.01,Small Sunnarium Battery,false
batteryElite,1xgt.metaitem.01@32597,gregtech:gt.metaitem.01,Lapotronic Energy Orb,false
batteryGood,1xic2.itemAdvBat@32767,IC2:itemAdvBat,(wildcard),true
batteryHV,1xgt.metaitem.01@32530,gregtech:gt.metaitem.01,Large Acid Battery,false
batteryHV,1xgt.metaitem.01@32531,gregtech:gt.metaitem.01,Large Mercury Battery,false
batteryHV,1xgt.metaitem.01@32537,gregtech:gt.metaitem.01,Large Cadmium Battery,false
batteryHV,1xgt.metaitem.01@32538,gregtech:gt.metaitem.01,Large Lithium Battery,false
batteryHV,1xgt.metaitem.01@32539,gregtech:gt.metaitem.01,Large Sodium Battery,false
batteryIV,1xgt.metaitem.01@32545,gregtech:gt.metaitem.01,Medium Sunnarium Battery,false
batteryLV,1xgt.metaitem.01@32510,gregtech:gt.metaitem.01,Small Acid Battery,false
batteryLV,1xgt.metaitem.01@32517,gregtech:gt.metaitem.01,Small Cadmium Battery,false
batteryLV,1xgt.metaitem.01@32518,gregtech:gt.metaitem.01,Small Lithium Battery,false
batteryLV,1xgt.metaitem.01@32519,gregtech:gt.metaitem.01,Small Sodium Battery,false
batteryLuV,1xgt.metaitem.01@32550,gregtech:gt.metaitem.01,Large Sunnarium Battery,false
batteryMAX,1xgt.metaitem.01@32145,gregtech:gt.metaitem.01,Insanely Ultimate Battery,false
batteryMV,1xgt.metaitem.01@32520,gregtech:gt.metaitem.01,Medium Acid Battery,false
batteryMV,1xgt.metaitem.01@32521,gregtech:gt.metaitem.01,Medium Mercury Battery,false
batteryMV,1xgt.metaitem.01@32527,gregtech:gt.metaitem.01,Medium Cadmium Battery,false
batteryMV,1xgt.metaitem.01@32528,gregtech:gt.metaitem.01,Medium Lithium Battery,false
batteryMV,1xgt.metaitem.01@32529,gregtech:gt.metaitem.01,Medium Sodium Battery,false
batteryMaster,1xgt.metaitem.01@32599,gregtech:gt.metaitem.01,Lapotronic Energy Orb Cluster,false
batterySuperconductor,1xgt.metaitem.01@32737,gregtech:gt.metaitem.01,Energy Cluster,false
batteryUEV,1xgt.metaitem.01@32575,gregtech:gt.metaitem.01,Medium Neutronium Battery,false
batteryUHV,1xgt.metaitem.01@32570,gregtech:gt.metaitem.01,Small Neutronium Battery,false
batteryUIV,1xgt.metaitem.01@32580,gregtech:gt.metaitem.01,Large Neutronium Battery,false
batteryULV,1xgt.metaitem.01@32499,gregtech:gt.metaitem.01,Tantalum Capacitor,false
batteryUMV,1xgt.metaitem.01@32609,gregtech:gt.metaitem.01,Really Ultimate Battery,false
batteryUMV,1xgt.metaitem.01@32585,gregtech:gt.metaitem.01,Medium Infinity Battery,false
batteryUV,1xgt.metaitem.01@32605,gregtech:gt.metaitem.01,Ultimate Battery,false
batteryUV,1xgt.metaitem.01@32560,gregtech:gt.metaitem.01,Large Naquadria Battery,false
batteryUXV,1xgt.metaitem.01@32594,gregtech:gt.metaitem.01,Extremely Ultimate Battery,false
batteryUXV,1xgt.metaitem.01@32590,gregtech:gt.metaitem.01,Large Infinity Battery,false
batteryUltimate,1xgt.metaitem.01@32736,gregtech:gt.metaitem.01,Energy Module,false
batteryZPM,1xgt.metaitem.01@32598,gregtech:gt.metaitem.01,Zero Point Module,false
batteryZPM,1xgt.metaitem.01@32555,gregtech:gt.metaitem.01,Medium Naquadria Battery,false
bedWood,1xitem.bed@0,minecraft:bed,Red Bed,false
bedWood,1xtile.etfuturum.white_bed@0,etfuturum:white_bed,White Bed,false
bedWood,1xtile.etfuturum.orange_bed@0,etfuturum:orange_bed,Orange Bed,false
bedWood,1xtile.etfuturum.magenta_bed@0,etfuturum:magenta_bed,Magenta Bed,false
bedWood,1xtile.etfuturum.light_blue_bed@0,etfuturum:light_blue_bed,Light Blue Bed,false
bedWood,1xtile.etfuturum.yellow_bed@0,etfuturum:yellow_bed,Yellow Bed,false
bedWood,1xtile.etfuturum.lime_bed@0,etfuturum:lime_bed,Lime Bed,false
bedWood,1xtile.etfuturum.pink_bed@0,etfuturum:pink_bed,Pink Bed,false
bedWood,1xtile.etfuturum.gray_bed@0,etfuturum:gray_bed,Gray Bed,false
bedWood,1xtile.etfuturum.light_gray_bed@0,etfuturum:light_gray_bed,Light Gray Bed,false
bedWood,1xtile.etfuturum.cyan_bed@0,etfuturum:cyan_bed,Cyan Bed,false
bedWood,1xtile.etfuturum.purple_bed@0,etfuturum:purple_bed,Purple Bed,false
bedWood,1xtile.etfuturum.blue_bed@0,etfuturum:blue_bed,Blue Bed,false
