id,stackName,className
80,Output Bus (ULV),MTEHatchOutputBus
81,Output Bus (LV),MTEHatchOutputBus
82,Output Bus (MV),MTEHatchOutputBus
83,Output Bus (HV),MTEHatchOutputBus
84,Output Bus (EV),MTEHatchOutputBus
85,Output Bus (IV),MTEHatchOutputBus
86,Output Bus (LuV),MTEHatchOutputBus
87,Output Bus (ZPM),MTEHatchOutputBus
88,Output Bus (UV),MTEHatchOutputBus
89,Output Bus (UHV),MTEHatchOutputBus
90,Maintenance Hatch,MTEHatchMaintenance
91,Muffler Hatch (LV),MTEHatchMuffler
92,Muffler Hatch (MV),MTEHatchMuffler
93,Muffler Hatch (HV),MTEHatchMuffler
94,Muffler Hatch (EV),MTEHatchMuffler
95,Muffler Hatch (IV),MTEHatchMuffler
96,Muffler Hatch (LuV),MTEHatchMuffler
97,Muffler Hatch (ZPM),MTEHatchMuffler
98,Muffler Hatch (UV),MTEHatchMuffler
99,Muffler Hatch (UHV),MTEHatchMuffler
100,Small Coal Boiler,MTEBoilerBronze
101,Large Coal Boiler,MTEBoilerSteel
102,Reinforced Lava Boiler,MTEBoilerLava
103,Steam Furnace,MTESteamFurnaceBronze
104,High Pressure Steam Furnace,MTESteamFurnaceSteel
105,Simple Solar Boiler,MTEBoilerSolar
106,Steam Macerator,MTESteamMaceratorBronze
107,High Pressure Steam Macerator,MTESteamMaceratorSteel
109,Steam Extractor,MTESteamExtractorBronze
110,High Pressure Steam Extractor,MTESteamExtractorSteel
111,Auto Maintenance Hatch,MTEHatchMaintenance
112,Steam Forge Hammer,MTESteamForgeHammerBronze
113,High Pressure Steam Forge Hammer,MTESteamForgeHammerSteel
114,Advanced Solar Boiler,MTEBoilerSolarSteel
115,Steam Compressor,MTESteamCompressorBronze
116,High Pressure Steam Compressor,MTESteamCompressorSteel
118,Steam Alloy Smelter,MTESteamAlloySmelterBronze
119,High Pressure Alloy Smelter,MTESteamAlloySmelterSteel
120,Quantum Tank I,MTEQuantumTank
121,Quantum Tank II,MTEQuantumTank
122,Quantum Tank III,MTEQuantumTank
123,Quantum Tank IV,MTEQuantumTank
124,Quantum Tank V,MTEQuantumTank
125,Quantum Chest I,MTEQuantumChest
126,Quantum Chest II,MTEQuantumChest
127,Quantum Chest III,MTEQuantumChest
128,Quantum Chest IV,MTEQuantumChest
129,Quantum Chest V,MTEQuantumChest
130,Super Tank I,MTESuperTank
131,Super Tank II,MTESuperTank
132,Super Tank III,MTESuperTank
133,Super Tank IV,MTESuperTank
134,Super Tank V,MTESuperTank
135,Super Chest I,MTESuperChest
136,Super Chest II,MTESuperChest
137,Super Chest III,MTESuperChest
138,Super Chest IV,MTESuperChest
139,Super Chest V,MTESuperChest
140,Bricked Blast Furnace,MTEBrickedBlastFurnace
141,Fluid Drilling Rig II,MTEOilDrill2
142,Fluid Drilling Rig III,MTEOilDrill3
143,Concrete Backfiller,MTEConcreteBackfiller1
144,Advanced Concrete Backfiller,MTEConcreteBackfiller2
145,Data Access Hatch,MTEHatchDataAccess
146,Advanced Data Access Hatch,MTEHatchDataAccess
147,Automatable Data Access Hatch,MTEHatchDataAccess
148,Infinite Fluid Drilling Rig,MTEOilDrillInfinite
149,Fluid Drilling Rig IV,MTEOilDrill4
150,Ultra Low Voltage Locker,MTELocker
151,Low Voltage Locker,MTELocker
152,Medium Voltage Locker,MTELocker
153,High Voltage Locker,MTELocker
154,Extreme Voltage Locker,MTELocker
155,Insane Voltage Locker,MTELocker
156,Ludicrous Voltage Locker,MTELocker
157,ZPM Voltage Locker,MTELocker
158,Ultimate Voltage Locker,MTELocker
159,Highly Ultimate Voltage Locker,MTELocker
160,Ultra Low Voltage Battery Buffer,MTEBasicBatteryBuffer
161,Low Voltage Battery Buffer,MTEBasicBatteryBuffer
162,Medium Voltage Battery Buffer,MTEBasicBatteryBuffer
163,High Voltage Battery Buffer,MTEBasicBatteryBuffer
164,Extreme Voltage Battery Buffer,MTEBasicBatteryBuffer
165,Insane Voltage Battery Buffer,MTEBasicBatteryBuffer
166,Ludicrous Voltage Battery Buffer,MTEBasicBatteryBuffer
167,ZPM Voltage Battery Buffer,MTEBasicBatteryBuffer
168,Ultimate Voltage Battery Buffer,MTEBasicBatteryBuffer
169,Highly Ultimate Voltage Battery Buffer,MTEBasicBatteryBuffer
170,Ultra Low Voltage Battery Buffer,MTEBasicBatteryBuffer
171,Low Voltage Battery Buffer,MTEBasicBatteryBuffer
172,Medium Voltage Battery Buffer,MTEBasicBatteryBuffer
173,High Voltage Battery Buffer,MTEBasicBatteryBuffer
174,Extreme Voltage Battery Buffer,MTEBasicBatteryBuffer
175,Insane Voltage Battery Buffer,MTEBasicBatteryBuffer
176,Ludicrous Voltage Battery Buffer,MTEBasicBatteryBuffer
177,ZPM Voltage Battery Buffer,MTEBasicBatteryBuffer
178,Ultimate Voltage Battery Buffer,MTEBasicBatteryBuffer
179,Highly Ultimate Voltage Battery Buffer,MTEBasicBatteryBuffer
180,Ultra Low Voltage Battery Buffer,MTEBasicBatteryBuffer
181,Low Voltage Battery Buffer,MTEBasicBatteryBuffer
182,Medium Voltage Battery Buffer,MTEBasicBatteryBuffer
183,High Voltage Battery Buffer,MTEBasicBatteryBuffer
184,Extreme Voltage Battery Buffer,MTEBasicBatteryBuffer
185,Insane Voltage Battery Buffer,MTEBasicBatteryBuffer
186,Ludicrous Voltage Battery Buffer,MTEBasicBatteryBuffer
187,ZPM Voltage Battery Buffer,MTEBasicBatteryBuffer
188,Ultimate Voltage Battery Buffer,MTEBasicBatteryBuffer
189,Highly Ultimate Voltage Battery Buffer,MTEBasicBatteryBuffer
190,Ultra Low Voltage Battery Buffer,MTEBasicBatteryBuffer
191,Low Voltage Battery Buffer,MTEBasicBatteryBuffer
192,Medium Voltage Battery Buffer,MTEBasicBatteryBuffer
193,High Voltage Battery Buffer,MTEBasicBatteryBuffer
194,Extreme Voltage Battery Buffer,MTEBasicBatteryBuffer
195,Insane Voltage Battery Buffer,MTEBasicBatteryBuffer
196,Ludicrous Voltage Battery Buffer,MTEBasicBatteryBuffer
197,ZPM Voltage Battery Buffer,MTEBasicBatteryBuffer
198,Ultimate Voltage Battery Buffer,MTEBasicBatteryBuffer
199,Highly Ultimate Voltage Battery Buffer,MTEBasicBatteryBuffer
200,Quadruple Input Hatch (EV),MTEHatchMultiInput
201,Basic Alloy Smelter,MTEBasicMachineWithRecipe
202,Advanced Alloy Smelter,MTEBasicMachineWithRecipe
203,Advanced Alloy Smelter II,MTEBasicMachineWithRecipe
204,Advanced Alloy Smelter III,MTEBasicMachineWithRecipe
205,Advanced Alloy Smelter IV,MTEBasicMachineWithRecipe
206,ULV Wireless Energy Hatch,MTEWirelessEnergy
207,LV Wireless Energy Hatch,MTEWirelessEnergy
208,MV Wireless Energy Hatch,MTEWirelessEnergy
209,HV Wireless Energy Hatch,MTEWirelessEnergy
211,Basic Assembling Machine,MTEBasicMachineWithRecipe
212,Advanced Assembling Machine,MTEBasicMachineWithRecipe
213,Advanced Assembling Machine II,MTEBasicMachineWithRecipe
214,Advanced Assembling Machine III,MTEBasicMachineWithRecipe
215,Advanced Assembling Machine IV,MTEBasicMachineWithRecipe
216,EV Wireless Energy Hatch,MTEWirelessEnergy
217,IV Wireless Energy Hatch,MTEWirelessEnergy
218,LuV Wireless Energy Hatch,MTEWirelessEnergy
219,ZPM Wireless Energy Hatch,MTEWirelessEnergy
221,Basic Bending Machine,MTEBasicMachineWithRecipe
222,Advanced Bending Machine,MTEBasicMachineWithRecipe
223,Advanced Bending Machine II,MTEBasicMachineWithRecipe
224,Advanced Bending Machine III,MTEBasicMachineWithRecipe
225,Advanced Bending Machine IV,MTEBasicMachineWithRecipe
227,UV Wireless Energy Hatch,MTEWirelessEnergy
229,UHV Wireless Energy Hatch,MTEWirelessEnergy
231,Basic Canning Machine,MTEBasicMachineWithRecipe
232,Advanced Canning Machine,MTEBasicMachineWithRecipe
233,Advanced Canning Machine II,MTEBasicMachineWithRecipe
234,Advanced Canning Machine III,MTEBasicMachineWithRecipe
235,Advanced Canning Machine IV,MTEBasicMachineWithRecipe
241,Basic Compressor,MTEBasicMachineWithRecipe
242,Advanced Compressor,MTEBasicMachineWithRecipe
243,Advanced Compressor II,MTEBasicMachineWithRecipe
244,Advanced Compressor III,MTEBasicMachineWithRecipe
245,Singularity Compressor,MTEBasicMachineWithRecipe
251,Basic Cutting Machine,MTEBasicMachineWithRecipe
252,Advanced Cutting Machine,MTEBasicMachineWithRecipe
253,Advanced Cutting Machine II,MTEBasicMachineWithRecipe
254,Advanced Cutting Machine III,MTEBasicMachineWithRecipe
255,Advanced Cutting Machine IV,MTEBasicMachineWithRecipe
261,Basic Electric Furnace,MTEBasicMachineWithRecipe
262,Advanced Electric Furnace,MTEBasicMachineWithRecipe
263,Advanced Electric Furnace II,MTEBasicMachineWithRecipe
264,Advanced Electric Furnace III,MTEBasicMachineWithRecipe
265,Electron Excitement Processor,MTEBasicMachineWithRecipe
266,UEV Wireless Energy Hatch,MTEWirelessEnergy
267,UIV Wireless Energy Hatch,MTEWirelessEnergy
268,UMV Wireless Energy Hatch,MTEWirelessEnergy
269,UXV Wireless Energy Hatch,MTEWirelessEnergy
271,Basic Extractor,MTEBasicMachineWithRecipe
272,Advanced Extractor,MTEBasicMachineWithRecipe
273,Advanced Extractor II,MTEBasicMachineWithRecipe
274,Advanced Extractor III,MTEBasicMachineWithRecipe
275,Vacuum Extractor,MTEBasicMachineWithRecipe
281,Basic Extruder,MTEBasicMachineWithRecipe
282,Advanced Extruder,MTEBasicMachineWithRecipe
283,Advanced Extruder II,MTEBasicMachineWithRecipe
284,Advanced Extruder III,MTEBasicMachineWithRecipe
285,Advanced Extruder IV,MTEBasicMachineWithRecipe
286,MAX Wireless Energy Hatch,MTEWirelessEnergy
287,ULV Wireless Energy Dynamo,MTEWirelessDynamo
288,LV Wireless Energy Dynamo,MTEWirelessDynamo
289,MV Wireless Energy Dynamo,MTEWirelessDynamo
291,Basic Lathe,MTEBasicMachineWithRecipe
292,Advanced Lathe,MTEBasicMachineWithRecipe
293,Advanced Lathe II,MTEBasicMachineWithRecipe
294,Advanced Lathe III,MTEBasicMachineWithRecipe
295,Advanced Lathe IV,MTEBasicMachineWithRecipe
296,HV Wireless Energy Dynamo,MTEWirelessDynamo
297,EV Wireless Energy Dynamo,MTEWirelessDynamo
298,IV Wireless Energy Dynamo,MTEWirelessDynamo
299,LuV Wireless Energy Dynamo,MTEWirelessDynamo
301,Basic Macerator,MTEBasicMachineWithRecipe
302,Advanced Macerator,MTEBasicMachineWithRecipe
303,Universal Macerator,MTEBasicMachineWithRecipe
304,Universal Pulverizer,MTEBasicMachineWithRecipe
305,Blend-O-Matic 9001,MTEBasicMachineWithRecipe
310,ZPM Wireless Energy Dynamo,MTEWirelessDynamo
311,Basic Microwave,MTEBasicMachineWithRecipe
312,Advanced Microwave,MTEBasicMachineWithRecipe
313,Advanced Microwave II,MTEBasicMachineWithRecipe
314,Advanced Microwave III,MTEBasicMachineWithRecipe
315,Advanced Microwave IV,MTEBasicMachineWithRecipe
316,UV Wireless Energy Dynamo,MTEWirelessDynamo
317,UHV Wireless Energy Dynamo,MTEWirelessDynamo
318,UEV Wireless Energy Dynamo,MTEWirelessDynamo
319,UIV Wireless Energy Dynamo,MTEWirelessDynamo
321,Basic Printer,MTEBasicMachineWithRecipe
322,Advanced Printer,MTEBasicMachineWithRecipe
323,Advanced Printer II,MTEBasicMachineWithRecipe
324,Advanced Printer III,MTEBasicMachineWithRecipe
325,Advanced Printer IV,MTEBasicMachineWithRecipe
326,Advanced Printer V,MTEBasicMachineWithRecipe
327,Advanced Printer VI,MTEBasicMachineWithRecipe
328,Advanced Printer VII,MTEBasicMachineWithRecipe
331,Basic Recycler,MTEBasicMachineWithRecipe
332,Advanced Recycler,MTEBasicMachineWithRecipe
333,Advanced Recycler II,MTEBasicMachineWithRecipe
334,Advanced Recycler III,MTEBasicMachineWithRecipe
335,The Oblitterator,MTEBasicMachineWithRecipe
341,Basic Scanner,MTEScanner
342,Advanced Scanner,MTEScanner
343,Advanced Scanner II,MTEScanner
344,Advanced Scanner III,MTEScanner
345,Advanced Scanner IV,MTEScanner
346,UMV Wireless Energy Dynamo,MTEWirelessDynamo
347,UXV Wireless Energy Dynamo,MTEWirelessDynamo
348,MAX Wireless Energy Dynamo,MTEWirelessDynamo
349,Advanced Debug Structure Writer,MTEAdvDebugStructureWriter
351,Basic Wiremill,MTEBasicMachineWithRecipe
352,Advanced Wiremill,MTEBasicMachineWithRecipe
353,Advanced Wiremill II,MTEBasicMachineWithRecipe
354,Advanced Wiremill III,MTEBasicMachineWithRecipe
355,Advanced Wiremill IV,MTEBasicMachineWithRecipe
356,PCB Factory,MTEPCBFactory
357,Nano Forge,MTENanoForge
358,Magnetic Flux Exhibitor,MTEIndustrialElectromagneticSeparator
359,Electromagnet Housing,MTEHatchMagnet
360,TurboCan Pro,MTEMultiCanner
361,Basic Centrifuge,MTEBasicMachineWithRecipe
362,Advanced Centrifuge,MTEBasicMachineWithRecipe
363,Turbo Centrifuge,MTEBasicMachineWithRecipe
364,Molecular Separator,MTEBasicMachineWithRecipe
365,Molecular Cyclone,MTEBasicMachineWithRecipe
366,Fluid Shaper,MTEMultiSolidifier
367,Solar Factory,MTESolarFactory
371,Basic Electrolyzer,MTEBasicMachineWithRecipe
372,Advanced Electrolyzer,MTEBasicMachineWithRecipe
373,Advanced Electrolyzer II,MTEBasicMachineWithRecipe
374,Advanced Electrolyzer III,MTEBasicMachineWithRecipe
375,Molecular Disintegrator E-4908,MTEBasicMachineWithRecipe
381,Basic Thermal Centrifuge,MTEBasicMachineWithRecipe
382,Advanced Thermal Centrifuge,MTEBasicMachineWithRecipe
383,Advanced Thermal Centrifuge II,MTEBasicMachineWithRecipe
384,Advanced Thermal Centrifuge III,MTEBasicMachineWithRecipe
385,Blaze Sweatshop T-6350,MTEBasicMachineWithRecipe
391,Basic Ore Washing Plant,MTEBasicMachineWithRecipe
392,Advanced Ore Washing Plant,MTEBasicMachineWithRecipe
393,Advanced Ore Washing Plant II,MTEBasicMachineWithRecipe
394,Advanced Ore Washing Plant III,MTEBasicMachineWithRecipe
395,Repurposed Laundry-Washer I-360,MTEBasicMachineWithRecipe
401,Basic Packager,MTEBoxinator
402,Advanced Packager,MTEBoxinator
403,Advanced Packager II,MTEBoxinator
404,Advanced Packager III,MTEBoxinator
405,Boxinator,MTEBoxinator
406,Boxinator,MTEBoxinator
407,Boxinator,MTEBoxinator
408,Boxinator,MTEBoxinator
411,Basic Unpackager,MTEBasicMachineWithRecipe
412,Advanced Unpackager,MTEBasicMachineWithRecipe
413,Advanced Unpackager II,MTEBasicMachineWithRecipe
414,Advanced Unpackager III,MTEBasicMachineWithRecipe
415,Unboxinator,MTEBasicMachineWithRecipe
416,Unboxinator,MTEBasicMachineWithRecipe
417,Unboxinator,MTEBasicMachineWithRecipe
418,Unboxinator,MTEBasicMachineWithRecipe
421,Basic Chemical Reactor,MTEBasicMachineWithRecipe
422,Advanced Chemical Reactor,MTEBasicMachineWithRecipe
423,Advanced Chemical Reactor II,MTEBasicMachineWithRecipe
424,Advanced Chemical Reactor III,MTEBasicMachineWithRecipe
425,Advanced Chemical Reactor IV,MTEBasicMachineWithRecipe
431,Basic Fluid Canner,MTEBasicMachineWithRecipe
432,Advanced Fluid Canner,MTEBasicMachineWithRecipe
433,Quick Fluid Canner,MTEBasicMachineWithRecipe
434,Turbo Fluid Canner,MTEBasicMachineWithRecipe
435,Instant Fluid Canner,MTEBasicMachineWithRecipe
441,Basic Rock Breaker,MTERockBreaker
442,Advanced Rock Breaker,MTERockBreaker
443,Advanced Rock Breaker II,MTERockBreaker
444,Advanced Rock Breaker III,MTERockBreaker
445,Cryogenic Magma Solidifier R-8200,MTERockBreaker
461,Basic Mass Fabricator,MTEMassfabricator
462,Advanced Mass Fabricator,MTEMassfabricator
463,Advanced Mass Fabricator II,MTEMassfabricator
464,Advanced Mass Fabricator III,MTEMassfabricator
465,Advanced Mass Fabricator IV,MTEMassfabricator
471,Basic Amplifabricator,MTEBasicMachineWithRecipe
472,Advanced Amplifabricator,MTEBasicMachineWithRecipe
473,Advanced Amplifabricator II,MTEBasicMachineWithRecipe
474,Advanced Amplifabricator III,MTEBasicMachineWithRecipe
475,Advanced Amplifabricator IV,MTEBasicMachineWithRecipe
481,Basic Replicator,MTEReplicator
482,Advanced Replicator,MTEReplicator
483,Advanced Replicator II,MTEReplicator
484,Advanced Replicator III,MTEReplicator
485,Advanced Replicator IV,MTEReplicator
491,Basic Brewery,MTEPotionBrewer
492,Advanced Brewery,MTEPotionBrewer
493,Advanced Brewery II,MTEPotionBrewer
494,Advanced Brewery III,MTEPotionBrewer
495,Advanced Brewery IV,MTEPotionBrewer
501,Basic Fermenter,MTEBasicMachineWithRecipe
502,Advanced Fermenter,MTEBasicMachineWithRecipe
503,Advanced Fermenter II,MTEBasicMachineWithRecipe
504,Advanced Fermenter III,MTEBasicMachineWithRecipe
505,Advanced Fermenter IV,MTEBasicMachineWithRecipe
511,Basic Fluid Extractor,MTEBasicMachineWithRecipe
512,Advanced Fluid Extractor,MTEBasicMachineWithRecipe
513,Advanced Fluid Extractor II,MTEBasicMachineWithRecipe
514,Advanced Fluid Extractor III,MTEBasicMachineWithRecipe
515,Advanced Fluid Extractor IV,MTEBasicMachineWithRecipe
521,Basic Fluid Solidifier,MTEBasicMachineWithRecipe
522,Advanced Fluid Solidifier,MTEBasicMachineWithRecipe
523,Advanced Fluid Solidifier II,MTEBasicMachineWithRecipe
524,Advanced Fluid Solidifier III,MTEBasicMachineWithRecipe
525,Advanced Fluid Solidifier IV,MTEBasicMachineWithRecipe
531,Basic Distillery,MTEBasicMachineWithRecipe
532,Advanced Distillery,MTEBasicMachineWithRecipe
533,Advanced Distillery II,MTEBasicMachineWithRecipe
534,Advanced Distillery III,MTEBasicMachineWithRecipe
535,Advanced Distillery IV,MTEBasicMachineWithRecipe
541,Basic Chemical Bath,MTEBasicMachineWithRecipe
542,Advanced Chemical Bath,MTEBasicMachineWithRecipe
543,Advanced Chemical Bath II,MTEBasicMachineWithRecipe
544,Advanced Chemical Bath III,MTEBasicMachineWithRecipe
545,Advanced Chemical Bath IV,MTEBasicMachineWithRecipe
551,Basic Polarizer,MTEBasicMachineWithRecipe
552,Advanced Polarizer,MTEBasicMachineWithRecipe
553,Advanced Polarizer II,MTEBasicMachineWithRecipe
554,Advanced Polarizer III,MTEBasicMachineWithRecipe
555,Advanced Polarizer IV,MTEBasicMachineWithRecipe
561,Basic Electromagnetic Separator,MTEBasicMachineWithRecipe
562,Advanced Electromagnetic Separator,MTEBasicMachineWithRecipe
563,Advanced Electromagnetic Separator II,MTEBasicMachineWithRecipe
564,Advanced Electromagnetic Separator III,MTEBasicMachineWithRecipe
565,Advanced Electromagnetic Separator IV,MTEBasicMachineWithRecipe
571,Basic Autoclave,MTEBasicMachineWithRecipe
572,Advanced Autoclave,MTEBasicMachineWithRecipe
573,Advanced Autoclave II,MTEBasicMachineWithRecipe
574,Advanced Autoclave III,MTEBasicMachineWithRecipe
575,Advanced Autoclave IV,MTEBasicMachineWithRecipe
581,Basic Mixer,MTEBasicMachineWithRecipe
582,Advanced Mixer,MTEBasicMachineWithRecipe
583,Advanced Mixer II,MTEBasicMachineWithRecipe
584,Advanced Mixer III,MTEBasicMachineWithRecipe
585,Advanced Mixer IV,MTEBasicMachineWithRecipe
591,Basic Precision Laser Engraver,MTEBasicMachineWithRecipe
592,Advanced Precision Laser Engraver,MTEBasicMachineWithRecipe
593,Advanced Precision Laser Engraver II,MTEBasicMachineWithRecipe
594,Advanced Precision Laser Engraver III,MTEBasicMachineWithRecipe
595,Advanced Precision Laser Engraver IV,MTEBasicMachineWithRecipe
601,Basic Forming Press,MTEBasicMachineWithRecipe
602,Advanced Forming Press,MTEBasicMachineWithRecipe
603,Advanced Forming Press II,MTEBasicMachineWithRecipe
604,Advanced Forming Press III,MTEBasicMachineWithRecipe
605,Advanced Forming Press IV,MTEBasicMachineWithRecipe
611,Basic Forge Hammer,MTEBasicMachineWithRecipe
612,Advanced Forge Hammer,MTEBasicMachineWithRecipe
613,Advanced Forge Hammer II,MTEBasicMachineWithRecipe
614,Advanced Forge Hammer III,MTEBasicMachineWithRecipe
615,Advanced Forge Hammer IV,MTEBasicMachineWithRecipe
621,Basic Fluid Heater,MTEBasicMachineWithRecipe
622,Advanced Fluid Heater,MTEBasicMachineWithRecipe
623,Advanced Fluid Heater II,MTEBasicMachineWithRecipe
624,Advanced Fluid Heater III,MTEBasicMachineWithRecipe
625,Advanced Fluid Heater IV,MTEBasicMachineWithRecipe
631,Basic Slicing Machine,MTEBasicMachineWithRecipe
632,Advanced Slicing Machine,MTEBasicMachineWithRecipe
633,Advanced Slicing Machine II,MTEBasicMachineWithRecipe
634,Advanced Slicing Machine III,MTEBasicMachineWithRecipe
635,Advanced Slicing Machine IV,MTEBasicMachineWithRecipe
641,Basic Sifting Machine,MTEBasicMachineWithRecipe
642,Advanced Sifting Machine,MTEBasicMachineWithRecipe
643,Advanced Sifting Machine II,MTEBasicMachineWithRecipe
644,Advanced Sifting Machine III,MTEBasicMachineWithRecipe
645,Advanced Sifting Machine IV,MTEBasicMachineWithRecipe
651,Basic Arc Furnace,MTEBasicMachineWithRecipe
652,Advanced Arc Furnace,MTEBasicMachineWithRecipe
653,Advanced Arc Furnace II,MTEBasicMachineWithRecipe
654,Advanced Arc Furnace III,MTEBasicMachineWithRecipe
655,Advanced Arc Furnace IV,MTEBasicMachineWithRecipe
661,Basic Plasma Arc Furnace,MTEBasicMachineWithRecipe
662,Advanced Plasma Arc Furnace,MTEBasicMachineWithRecipe
663,Advanced Plasma Arc Furnace II,MTEBasicMachineWithRecipe
664,Advanced Plasma Arc Furnace III,MTEBasicMachineWithRecipe
665,Advanced Plasma Arc Furnace IV,MTEBasicMachineWithRecipe
671,Basic Electric Oven,MTEBasicMachineWithRecipe
672,Advanced Electric Oven,MTEBasicMachineWithRecipe
673,Advanced Electric Oven II,MTEBasicMachineWithRecipe
674,Advanced Electric Oven III,MTEBasicMachineWithRecipe
675,Advanced Electric Oven IV,MTEBasicMachineWithRecipe
679,Basic Miner,MTEMiner
680,Good Miner,MTEMiner
681,Advanced Miner,MTEMiner
686,Industrial Precision Lathe,MTEMultiLathe
687,Industrial Autoclave,MTEMultiAutoclave
690,Ultra Low Voltage Battery Charger,MTECharger
691,Low Voltage Battery Charger,MTECharger
692,Medium Voltage Battery Charger,MTECharger
693,High Voltage Battery Charger,MTECharger
694,Extreme Voltage Battery Charger,MTECharger
695,Insane Voltage Battery Charger,MTECharger
696,Ludicrous Voltage Battery Charger,MTECharger
697,ZPM Voltage Battery Charger,MTECharger
698,Ultimate Voltage Battery Charger,MTECharger
699,Highly Ultimate Voltage Battery Charger,MTECharger
710,Quadruple Input Hatch (IV),MTEHatchMultiInput
711,Quadruple Input Hatch (LuV),MTEHatchMultiInput
712,Quadruple Input Hatch (ZPM),MTEHatchMultiInput
713,Quadruple Input Hatch (UV),MTEHatchMultiInput
714,Quadruple Input Hatch (UHV),MTEHatchMultiInput
715,Quadruple Input Hatch (UEV),MTEHatchMultiInput
716,Quadruple Input Hatch (UIV),MTEHatchMultiInput
717,Quadruple Input Hatch (UMV),MTEHatchMultiInput
718,Quadruple Input Hatch (UXV),MTEHatchMultiInput
719,Humongous Quadruple Input Hatch,MTEHatchQuadrupleHumongous
749,Nuclear Salt Processing Plant,MTENuclearSaltProcessingPlant
751,Thorium Reactor [LFTR],MTENuclearReactor
753,Advanced Boiler [LV],MTEAdvancedBoilerLV
754,Advanced Boiler [MV],MTEAdvancedBoilerMV
755,Advanced Boiler [HV],MTEAdvancedBoilerHV
756,Pollution Detection Device,MTEPollutionDetector
758,Upgraded Pollution Scrubber,MTEAtmosphericReconditioner
759,Advanced Pollution Scrubber,MTEAtmosphericReconditioner
760,Precision Pollution Scrubber,MTEAtmosphericReconditioner
761,Air Recycler,MTEAtmosphericReconditioner
762,Upgraded Air Recycler,MTEAtmosphericReconditioner
763,Advanced Air Recycler,MTEAtmosphericReconditioner
764,Precision Air Recycler,MTEAtmosphericReconditioner
765,Atmospheric Cleaner,MTEAtmosphericReconditioner
766,Biosphere Cleanser,MTEAtmosphericReconditioner
767,Deprecated ULV Simple Washer,MTEBasicMachineWithRecipe
770,Ultra Low Voltage Energy Buffer,MTEEnergyBuffer
